phenotype	snp	adjustment	beta	SE	OR	p	type	n_total	n_cases	n_controls	HWE_p	allele_freq	n_no_snp	note	p.value	bonferroni	fdr	description	group
250.6	rs4266947_T	NA	NA	NA	NA	NA	NA	427275	NA	NA	NA	NA	2501	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Polyneuropathy in diabetes	endocrine/metabolic
250.7	rs4266947_T	NA	NA	NA	NA	NA	NA	422895	NA	NA	NA	NA	2469	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Diabetic retinopathy	endocrine/metabolic
251	rs4266947_T	NA	NA	NA	NA	NA	logistic	426776	3	426773	0.669351773372457	0.0508768065683169	2496	 [Error: < 15  cases or controls]	NA	NA	NA	Other disorders of pancreatic internal secretion	endocrine/metabolic
251.1	rs4266947_T	NA	0.0463778934797302	0.129698813378893	1.04747016832198	0.720656540874141	logistic	425934	589	425345	0.718514478477512	0.0508635140655595	2498		FALSE	FALSE	FALSE	Hypoglycemia	endocrine/metabolic
251.8	rs4266947_T	NA	NA	NA	NA	NA	logistic	426774	1	426773	0.669432332738057	0.0508770449933689	2496	 [Error: < 15  cases or controls]	NA	NA	NA	Abnormality of secretion of glucagon or gastrin	endocrine/metabolic
252	rs4266947_T	NA	0.117250515339408	0.133119760581657	1.12440107412765	0.378431650153452	logistic	427301	528	426773	0.67979927791921	0.0508845053018832	2501		FALSE	FALSE	FALSE	Disorders of parathyroid gland	endocrine/metabolic
252.1	rs4266947_T	NA	0.119533868201525	0.136575994766774	1.12697141191576	0.381454905853303	logistic	427274	501	426773	0.678539601105027	0.05088421013214	2501		FALSE	FALSE	FALSE	Hyperparathyroidism	endocrine/metabolic
252.2	rs4266947_T	NA	NA	NA	NA	NA	logistic	426785	12	426773	0.669780217171997	0.0508769052333142	2496	 [Error: < 15  cases or controls]	NA	NA	NA	Hypoparathyroidism	endocrine/metabolic
253	rs4266947_T	NA	-0.0623963881487557	0.162203892988235	0.939510402182666	0.700475453092934	logistic	427191	418	426773	0.68405693738624	0.050874199128727	2497		FALSE	FALSE	FALSE	Disorders of the pituitary gland and its hypothalamic control	endocrine/metabolic
253.1	rs4266947_T	NA	0.210308851651864	0.25841048956705	1.23405914230936	0.41572761760657	logistic	426902	129	426773	0.676877124693881	0.0508805299576952	2496		FALSE	FALSE	FALSE	Pituitary hyperfunction	endocrine/metabolic
253.11	rs4266947_T	NA	0.42529300371345	0.278068496059588	1.53003866100138	0.126151907500632	logistic	426866	93	426773	0.6767470923681	0.0508824783421495	2496		FALSE	FALSE	FALSE	Acromegaly and gigantism	endocrine/metabolic
253.2	rs4266947_T	NA	-0.0862217495268569	0.264690469417942	0.917390777692227	0.744616858318085	logistic	426934	161	426773	0.674824202427245	0.0508755451662318	2497		FALSE	FALSE	FALSE	Pituitary hypofunction	endocrine/metabolic
253.3	rs4266947_T	NA	-0.347658453083649	0.721897429941607	0.706340083297618	0.630097359542817	logistic	426800	27	426773	0.669966954127685	0.0508762886597938	2496		FALSE	FALSE	FALSE	Diabetes insipidus	endocrine/metabolic
253.4	rs4266947_T	NA	NA	NA	NA	NA	NA	426773	NA	NA	NA	NA	2496	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Anterior pituitary disorders	endocrine/metabolic
253.5	rs4266947_T	NA	NA	NA	NA	NA	NA	426773	NA	NA	NA	NA	2496	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Pituitary dwarfism	endocrine/metabolic
253.7	rs4266947_T	NA	-0.169455131290936	0.4170719037651	0.844124628413045	0.68452426961996	logistic	426842	69	426773	0.671435762345789	0.0508759681568356	2496		FALSE	FALSE	FALSE	Other disorders of neurohypophysis	endocrine/metabolic
254	rs4266947_T	NA	NA	NA	NA	NA	logistic	426784	11	426773	0.670610273559047	0.0508781959961011	2496	 [Error: < 15  cases or controls]	NA	NA	NA	Diseases of thymus gland	endocrine/metabolic
255	rs4266947_T	NA	-0.253524777683665	0.19661088906445	0.776060515704947	0.197233087883391	logistic	427109	336	426773	0.645247025409174	0.0508687477903767	2496		FALSE	FALSE	FALSE	Disorders of adrenal glands	endocrine/metabolic
255.1	rs4266947_T	NA	-0.574198577517293	0.383880029641197	0.563156013894708	0.134712008837862	logistic	426891	118	426773	0.670256841427494	0.0508712996994549	2496		FALSE	FALSE	FALSE	Adrenal hyperfunction	endocrine/metabolic
255.11	rs4266947_T	NA	-0.898810692235504	0.584109318853218	0.40705348384459	0.12386012355878	logistic	426842	69	426773	0.669066677828724	0.0508724539759443	2496		FALSE	FALSE	FALSE	Cushing's syndrome	endocrine/metabolic
255.12	rs4266947_T	NA	-0.169908522271034	0.510900113646537	0.843741996667889	0.739461150710904	logistic	426819	46	426773	0.670782242510015	0.0508763667971669	2496		FALSE	FALSE	FALSE	Hyperaldosteronism	endocrine/metabolic
255.13	rs4266947_T	NA	NA	NA	NA	NA	logistic	426775	2	426773	0.669392054590415	0.0508769257805635	2496	 [Error: < 15  cases or controls]	NA	NA	NA	Medulloadrenal hyperfunction	endocrine/metabolic
255.2	rs4266947_T	NA	-0.108930666883079	0.284263170051475	0.896792592768496	0.701568817397204	logistic	426914	141	426773	0.641864915690594	0.0508755861836342	2496		FALSE	FALSE	FALSE	Adrenal hypofunction	endocrine/metabolic
255.21	rs4266947_T	NA	-0.108930666883079	0.284263170051475	0.896792592768496	0.701568817397204	logistic	426914	141	426773	0.641864915690594	0.0508755861836342	2496		FALSE	FALSE	FALSE	Glucocorticoid deficiency	endocrine/metabolic
255.22	rs4266947_T	NA	NA	NA	NA	NA	NA	426773	NA	NA	NA	NA	2496	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Mineralocorticoid deficiency	endocrine/metabolic
255.3	rs4266947_T	NA	NA	NA	NA	NA	logistic	426780	7	426773	0.669981419687362	0.0508775012887202	2496	 [Error: < 15  cases or controls]	NA	NA	NA	Adrenogenital disorders	endocrine/metabolic
256	rs4266947_T	NA	0.250358722545745	0.425031104469549	1.28448610817929	0.555836965046954	logistic	230892	46	230846	0.488493933061245	0.0506860350293644	1347		FALSE	FALSE	FALSE	Ovarian dysfunction	endocrine/metabolic
256.1	rs4266947_T	NA	NA	NA	NA	NA	NA	426773	NA	NA	NA	NA	2496	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Hyperestrogenism	endocrine/metabolic
256.4	rs4266947_T	NA	0.194641022239321	0.465266368812987	1.21487479516945	0.675696207707992	logistic	230886	40	230846	0.487524367677398	0.0506851866288991	1347		FALSE	FALSE	FALSE	Polycystic ovaries	endocrine/metabolic
257	rs4266947_T	NA	-0.405354811747762	0.416055782293656	0.666740201628847	0.329917551161879	logistic	196014	87	195927	0.538318907461593	0.05109839093126	1149		FALSE	FALSE	FALSE	Testicular dysfunction	endocrine/metabolic
257.1	rs4266947_T	NA	-0.300133357102492	0.41703407810681	0.740719433897441	0.471718688288557	logistic	196005	78	195927	0.538975636059953	0.0511007372260912	1149		FALSE	FALSE	FALSE	Testicular hypofunction	endocrine/metabolic
258	rs4266947_T	NA	-0.140698146212536	0.457737904424926	0.868751508056267	0.758556362268466	logistic	426830	57	426773	0.671129179696997	0.050876227069325	2496		FALSE	FALSE	FALSE	Iatrogenic endocrine disorders	endocrine/metabolic
258.1	rs4266947_T	NA	NA	NA	NA	NA	NA	230846	NA	NA	NA	NA	1347	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Postablative ovarian failure	endocrine/metabolic
259	rs4266947_T	NA	0.164064644150275	0.286681072018788	1.17829048221782	0.567125680597646	logistic	426882	109	426773	0.675330671889841	0.0508793999278489	2497		FALSE	FALSE	FALSE	Other endocrine disorders	endocrine/metabolic
259.1	rs4266947_T	NA	-0.199321549646546	0.722187719025184	0.8192864097182	0.782550470660894	logistic	426797	24	426773	0.670087636396194	0.0508766462744583	2496		FALSE	FALSE	FALSE	Nonspecific abnormal results of other endocrine function study	endocrine/metabolic
259.2	rs4266947_T	NA	NA	NA	NA	NA	logistic	426787	14	426773	0.670489711043231	0.0508778383596501	2496	 [Error: < 15  cases or controls]	NA	NA	NA	Carcinoid syndrome	endocrine/metabolic
259.3	rs4266947_T	NA	NA	NA	NA	NA	NA	426773	NA	NA	NA	NA	2496	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Delay in sexual development and puberty NEC	endocrine/metabolic
259.4	rs4266947_T	NA	NA	NA	NA	NA	NA	426773	NA	NA	NA	NA	2496	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Precocious sexual development and puberty NEC	endocrine/metabolic
259.8	rs4266947_T	NA	NA	NA	NA	NA	NA	426773	NA	NA	NA	NA	2496	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Polyglandular activity in multiple endocrine adenomatosis	endocrine/metabolic
260	rs4266947_T	NA	-1.49158774595629	1.00612202959783	0.225015104941819	0.138204175481855	logistic	428431	41	428390	0.677239448902704	0.0508833394408901	2505		FALSE	FALSE	FALSE	Protein-calorie malnutrition	endocrine/metabolic
260.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	428398	8	428390	0.677768052104531	0.050886091905191	2505	 [Error: < 15  cases or controls]	NA	NA	NA	Cachexia	endocrine/metabolic
260.2	rs4266947_T	NA	NA	NA	NA	NA	logistic	428393	3	428390	0.677965705629765	0.0508866858235312	2505	 [Error: < 15  cases or controls]	NA	NA	NA	severe protein-calorie malnutrition	endocrine/metabolic
260.21	rs4266947_T	NA	NA	NA	NA	NA	NA	428390	NA	NA	NA	NA	2505	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Kwashiorkor	endocrine/metabolic
260.22	rs4266947_T	NA	NA	NA	NA	NA	logistic	428391	1	428390	0.678044745600799	0.0508869233947492	2505	 [Error: < 15  cases or controls]	NA	NA	NA	Nutritional marasmus	endocrine/metabolic
260.3	rs4266947_T	NA	NA	NA	NA	NA	NA	428390	NA	NA	NA	NA	2505	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Adult failure to thrive	endocrine/metabolic
260.6	rs4266947_T	NA	-0.22333516166116	0.361652428044246	0.799846726407312	0.536878020411029	logistic	428488	98	428390	0.680413495944525	0.0508847388958384	2506		FALSE	FALSE	FALSE	Anorexia	endocrine/metabolic
260.7	rs4266947_T	NA	NA	NA	NA	NA	logistic	428392	2	428390	0.678780639355623	0.0508879717641786	2505	 [Error: < 15  cases or controls]	NA	NA	NA	Polyphagia	endocrine/metabolic
261	rs4266947_T	NA	-0.214888926486452	0.283506213589127	0.806631030544376	0.448469530043871	logistic	428547	157	428390	0.681951705299797	0.0508835670299874	2506		FALSE	FALSE	FALSE	Vitamin deficiency	endocrine/metabolic
261.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	428391	1	428390	0.678044745600799	0.0508869233947492	2505	 [Error: < 15  cases or controls]	NA	NA	NA	Vitamin A deficiency	endocrine/metabolic
261.2	rs4266947_T	NA	-0.437229600541769	0.384657282962828	0.645823133045349	0.255674953127386	logistic	428493	103	428390	0.679443846494085	0.0508829782516867	2506		FALSE	FALSE	FALSE	Vitamin B-complex deficiencies	endocrine/metabolic
261.3	rs4266947_T	NA	NA	NA	NA	NA	logistic	428392	2	428390	0.678005227146675	0.0508868046088629	2505	 [Error: < 15  cases or controls]	NA	NA	NA	Vitamin C deficiencies	endocrine/metabolic
261.4	rs4266947_T	NA	0.259264157815649	0.422372849243175	1.29597610183204	0.539329185699725	logistic	428438	48	428390	0.68083511021267	0.050888343237528	2505		FALSE	FALSE	FALSE	Vitamin D deficiency	endocrine/metabolic
261.41	rs4266947_T	NA	NA	NA	NA	NA	logistic	428396	6	428390	0.677847122702652	0.0508863294708634	2505	 [Error: < 15  cases or controls]	NA	NA	NA	Rickets or osteomalacia	endocrine/metabolic
262	rs4266947_T	NA	-0.209161502640403	0.283765477070357	0.811264203751728	0.461065890345944	logistic	428548	158	428390	0.681912514965418	0.0508834482951735	2507		FALSE	FALSE	FALSE	Mineral deficiency NEC	endocrine/metabolic
263	rs4266947_T	NA	NA	NA	NA	NA	logistic	428394	4	428390	0.677926181050113	0.050886567038754	2505	 [Error: < 15  cases or controls]	NA	NA	NA	Other nutritional deficiency	endocrine/metabolic
264	rs4266947_T	NA	NA	NA	NA	NA	NA	428390	NA	NA	NA	NA	2505	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Lack of normal physiological development	endocrine/metabolic
264.1	rs4266947_T	NA	NA	NA	NA	NA	NA	428390	NA	NA	NA	NA	2505	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Short stature	endocrine/metabolic
264.2	rs4266947_T	NA	NA	NA	NA	NA	NA	428390	NA	NA	NA	NA	2505	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Failure to thrive (childhood)	endocrine/metabolic
264.3	rs4266947_T	NA	NA	NA	NA	NA	NA	428390	NA	NA	NA	NA	2505	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Delayed milestones	endocrine/metabolic
264.9	rs4266947_T	NA	NA	NA	NA	NA	NA	428390	NA	NA	NA	NA	2505	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Lack of normal physiological development, unspecified	endocrine/metabolic
269	rs4266947_T	NA	0.100009357128787	0.325697326281011	1.10518125935064	0.758795982943816	logistic	428550	88	428462	0.688655241109123	0.0508703768521759	2508		FALSE	FALSE	FALSE	Proteinuria	endocrine/metabolic
270	rs4266947_T	NA	0.0724434936870549	0.206043862648201	1.07513205262547	0.725143829104086	logistic	428693	231	428462	0.694475006483081	0.0508709029538621	2509		FALSE	FALSE	FALSE	Disorders of protein plasma/amino-acid transport and metabolism	endocrine/metabolic
270.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	428469	7	428462	0.684940667898282	0.0508694911417162	2508	 [Error: < 15  cases or controls]	NA	NA	NA	Disturbances of amino-acid transport	endocrine/metabolic
270.11	rs4266947_T	NA	NA	NA	NA	NA	logistic	428463	1	428462	0.684409173179373	0.0508690365329095	2508	 [Error: < 15  cases or controls]	NA	NA	NA	Disturbances of sulphur-bearing amino-acid metabolism	endocrine/metabolic
270.12	rs4266947_T	NA	NA	NA	NA	NA	NA	428462	NA	NA	NA	NA	2508	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Phenylketonuria [PKU]	endocrine/metabolic
270.2	rs4266947_T	NA	NA	NA	NA	NA	logistic	428465	3	428462	0.684331208617901	0.0508687990851061	2508	 [Error: < 15  cases or controls]	NA	NA	NA	Disorders of amino-acid metabolism	endocrine/metabolic
270.21	rs4266947_T	NA	NA	NA	NA	NA	logistic	428463	1	428462	0.684409173179373	0.0508690365329095	2508	 [Error: < 15  cases or controls]	NA	NA	NA	Disorders of urea cycle metabolism	endocrine/metabolic
270.3	rs4266947_T	NA	0.0765440978378953	0.210321227374313	1.07954979509939	0.715903558601026	logistic	428683	221	428462	0.69410715589661	0.0508709232696421	2509		FALSE	FALSE	FALSE	Disorders of plasma protein metabolism	endocrine/metabolic
270.31	rs4266947_T	NA	NA	NA	NA	NA	logistic	428473	11	428462	0.684784900891725	0.0508690162507323	2508	 [Error: < 15  cases or controls]	NA	NA	NA	Polyclonal hypergammaglobulinemia	endocrine/metabolic
270.32	rs4266947_T	NA	-0.0253607580304148	0.274719307838965	0.97495812460431	0.926447640474595	logistic	428604	142	428462	0.689603306190494	0.0508686339838172	2509		FALSE	FALSE	FALSE	Paraproteinemia	endocrine/metabolic
270.33	rs4266947_T	NA	0.0578289358970321	0.343155752091144	1.05953373201944	0.866173457778658	logistic	428545	83	428462	0.672707734448381	0.050869803637891	2508		FALSE	FALSE	FALSE	Amyloidosis	endocrine/metabolic
270.34	rs4266947_T	NA	NA	NA	NA	NA	NA	428462	NA	NA	NA	NA	2508	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Alpha-1-antitrypsin deficiency	endocrine/metabolic
270.35	rs4266947_T	NA	0.138763992937328	0.34374321131305	1.14885293060032	0.686444339922983	logistic	428541	79	428462	0.68824398275342	0.0508702784564371	2508		FALSE	FALSE	FALSE	Macroglobulinemia	endocrine/metabolic
270.38	rs4266947_T	NA	NA	NA	NA	NA	NA	428462	NA	NA	NA	NA	2508	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Other specified disorders of plasma protein metabolism	endocrine/metabolic
271	rs4266947_T	NA	-0.604187524862774	1.01544989302298	0.546518278819443	0.55184686865635	logistic	428858	18	428840	0.687432534460407	0.0508734825979695	2509		FALSE	FALSE	FALSE	Disorders of carbohydrate transport and metabolism	endocrine/metabolic
271.3	rs4266947_T	NA	NA	NA	NA	NA	logistic	428852	12	428840	0.686904098142194	0.0508730284573699	2509	 [Error: < 15  cases or controls]	NA	NA	NA	Intestinal disaccharidase deficiencies and disaccharide malabsorption	endocrine/metabolic
271.9	rs4266947_T	NA	NA	NA	NA	NA	logistic	428846	6	428840	0.68789690702785	0.0508749061434641	2509	 [Error: < 15  cases or controls]	NA	NA	NA	Other disorders of carbohydrate transport and metabolism	endocrine/metabolic
272	rs4266947_T	NA	-0.142128603808493	0.457715843259355	0.867509684262461	0.756167745275702	logistic	428858	57	428801	0.687432534460407	0.0508734825979695	2509		FALSE	FALSE	FALSE	Disorders of lipoid metabolism	endocrine/metabolic
272.1	rs4266947_T	NA	-0.104072310991043	0.458102805264637	0.901160131282937	0.82028290351889	logistic	428856	55	428801	0.687509960471307	0.0508737198500196	2509		FALSE	FALSE	FALSE	Hyperlipidemia	endocrine/metabolic
272.11	rs4266947_T	NA	0.215046042448558	0.516882130266288	1.23991898455789	0.677377334560333	logistic	428834	33	428801	0.687601275579747	0.0508751638163019	2508		FALSE	FALSE	FALSE	Hypercholesterolemia	endocrine/metabolic
272.12	rs4266947_T	NA	NA	NA	NA	NA	logistic	428805	4	428801	0.6856790063633	0.0508739403691655	2507	 [Error: < 15  cases or controls]	NA	NA	NA	Hyperglyceridemia	endocrine/metabolic
272.13	rs4266947_T	NA	NA	NA	NA	NA	logistic	428805	4	428801	0.6856790063633	0.0508739403691655	2507	 [Error: < 15  cases or controls]	NA	NA	NA	Mixed hyperlipidemia	endocrine/metabolic
272.14	rs4266947_T	NA	NA	NA	NA	NA	NA	428801	NA	NA	NA	NA	2507	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Hyperchylomicronemia	endocrine/metabolic
272.9	rs4266947_T	NA	NA	NA	NA	NA	logistic	428803	2	428801	0.685756727152524	0.050874177652675	2507	 [Error: < 15  cases or controls]	NA	NA	NA	Unspecified disorder of lipoid metabolism	endocrine/metabolic
274	rs4266947_T	NA	0.10486186610688	0.174243939199669	1.1105571941712	0.547300155348449	logistic	428858	313	428545	0.687432534460407	0.0508734825979695	2509		FALSE	FALSE	FALSE	Gout and other crystal arthropathies	endocrine/metabolic
274.1	rs4266947_T	NA	0.394866109624927	0.204034371940003	1.48418545946925	0.0529544603417177	logistic	428721	176	428545	0.685890382040349	0.0508792431441427	2509		FALSE	FALSE	FALSE	Gout	endocrine/metabolic
274.11	rs4266947_T	NA	0.550924552056224	0.261638264396389	1.73485624152668	0.0352327923215196	logistic	428639	94	428545	0.681424584200512	0.0508773116771922	2509		TRUE	FALSE	FALSE	Gouty arthropathy	endocrine/metabolic
274.2	rs4266947_T	NA	-0.440372917461953	0.339287036634936	0.643796293432266	0.194309269095132	logistic	428682	137	428545	0.689625495044501	0.0508640437433809	2507		FALSE	FALSE	FALSE	Crystal arthropathies	endocrine/metabolic
274.21	rs4266947_T	NA	-0.257585328635134	0.360984185107298	0.772915671660276	0.475496808653725	logistic	428648	103	428545	0.690178385774575	0.0508669117784289	2507		FALSE	FALSE	FALSE	Chondrocalcinosis	endocrine/metabolic
275	rs4266947_T	NA	0.130294821173856	0.0857912454933921	1.13916418354349	0.128827293490832	logistic	428858	1247	427611	0.687432534460407	0.0508734825979695	2509		FALSE	FALSE	FALSE	Disorders of mineral metabolism	endocrine/metabolic
275.1	rs4266947_T	NA	0.0752415971343273	0.117518463742513	1.07814459606676	0.522007864771438	logistic	428303	692	427611	0.672112561513123	0.0508600219937754	2506		FALSE	FALSE	FALSE	Disorders of iron metabolism	hematopoietic
275.11	rs4266947_T	NA	NA	NA	NA	NA	NA	427611	NA	NA	NA	NA	2504	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Hereditary hemochromatosis	hematopoietic
275.2	rs4266947_T	NA	NA	NA	NA	NA	logistic	427618	7	427611	0.637904296137515	0.0508514608833117	2504	 [Error: < 15  cases or controls]	NA	NA	NA	Disorders of copper metabolism	endocrine/metabolic
275.3	rs4266947_T	NA	-0.043321940124267	0.274055712451648	0.957603049591324	0.874396022663909	logistic	427753	142	427611	0.627095100601503	0.0508517766093984	2506		FALSE	FALSE	FALSE	Disorders of magnesium metabolism	endocrine/metabolic
275.5	rs4266947_T	NA	0.280930496597368	0.137250177025935	1.32436155310212	0.0406728348562619	logistic	428042	431	427611	0.650752683155872	0.050867671863976	2506		TRUE	FALSE	FALSE	Disorders of calcium/phosphorus metabolism	endocrine/metabolic
275.51	rs4266947_T	NA	NA	NA	NA	NA	NA	427611	NA	NA	NA	NA	2504	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Hypocalcemia	endocrine/metabolic
275.53	rs4266947_T	NA	NA	NA	NA	NA	NA	427611	NA	NA	NA	NA	2504	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Disorders of phosphorus metabolism	endocrine/metabolic
275.6	rs4266947_T	NA	NA	NA	NA	NA	NA	427611	NA	NA	NA	NA	2504	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Hypercalcemia	endocrine/metabolic
276	rs4266947_T	NA	-0.0367808327493801	0.0828629151400484	0.963887364744563	0.65713246903877	logistic	428774	1566	427208	0.699596117836522	0.0508741201658683	2507		FALSE	FALSE	FALSE	Disorders of fluid, electrolyte, and acid-base balance	endocrine/metabolic
276.1	rs4266947_T	NA	-0.0705590062961963	0.100677899523169	0.931872751543903	0.483403447435479	logistic	428300	1092	427208	0.695179791802296	0.0508720522997899	2500		FALSE	FALSE	FALSE	Electrolyte imbalance	endocrine/metabolic
276.11	rs4266947_T	NA	0.0136185321532623	0.72580101306258	1.01371168675825	0.985029810113942	logistic	427228	20	427208	0.704358316529416	0.0508803261958486	2492		FALSE	FALSE	FALSE	Hyperosmolality and/or hypernatremia	endocrine/metabolic
276.12	rs4266947_T	NA	-0.0636628178634395	0.152960752866979	0.938321331388304	0.677261016768245	logistic	427676	468	427208	0.704542934460387	0.0508772996380438	2495		FALSE	FALSE	FALSE	Hyposmolality and/or hyponatremia	endocrine/metabolic
276.13	rs4266947_T	NA	-0.0635978884802868	0.164242117253208	0.938382257991493	0.698593093327029	logistic	427616	408	427208	0.687446762444637	0.0508774227344159	2495		FALSE	FALSE	FALSE	Hyperpotassemia	endocrine/metabolic
276.14	rs4266947_T	NA	0.0604767935868883	0.235961501452713	1.06234294411504	0.797719652854232	logistic	427384	176	427208	0.710952895948853	0.0508816427381465	2494		FALSE	FALSE	FALSE	Hypopotassemia	endocrine/metabolic
276.4	rs4266947_T	NA	-0.200617773556077	0.510402618950421	0.818225119068924	0.694276729243739	logistic	427256	48	427208	0.704779488001746	0.0508793322972644	2493		FALSE	FALSE	FALSE	Acid-base balance disorder	endocrine/metabolic
276.41	rs4266947_T	NA	0.0714382241227182	0.513705045558211	1.07405179815976	0.889399043873117	logistic	427245	37	427208	0.705189940304049	0.0508806422544442	2493		FALSE	FALSE	FALSE	Acidosis	endocrine/metabolic
276.42	rs4266947_T	NA	NA	NA	NA	NA	logistic	427220	12	427208	0.703187992492889	0.0508789382519545	2492	 [Error: < 15  cases or controls]	NA	NA	NA	Alkalosis	endocrine/metabolic
276.5	rs4266947_T	NA	0.0757967956224932	0.155162108282484	1.07874334651381	0.625195243196723	logistic	427609	401	427208	0.706307632286967	0.0508841020652044	2499		FALSE	FALSE	FALSE	Hypovolemia	endocrine/metabolic
276.6	rs4266947_T	NA	0.114107099442223	0.297410691595725	1.1208721632395	0.701224198545006	logistic	427315	107	427208	0.708426312307735	0.0508816680902847	2493		FALSE	FALSE	FALSE	Fluid overload	endocrine/metabolic
276.8	rs4266947_T	NA	0.0478824667816377	0.460426077519045	1.04904735016711	0.917172529060521	logistic	427255	47	427208	0.690717147474616	0.0508806216428128	2493		FALSE	FALSE	FALSE	Polydipsia	endocrine/metabolic
277	rs4266947_T	NA	0.088026396421222	0.297268766538123	1.09201694698707	0.767140574841475	logistic	428809	108	428701	0.683993919576989	0.0508711337681812	2509		FALSE	FALSE	FALSE	Other disorders of metabolism	endocrine/metabolic
277.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	428713	12	428701	0.679288032390633	0.0508696960437402	2508	 [Error: < 15  cases or controls]	NA	NA	NA	Disorders of porphyrin metabolism	endocrine/metabolic
277.2	rs4266947_T	NA	NA	NA	NA	NA	logistic	428702	1	428701	0.679721104658372	0.0508710013016034	2508	 [Error: < 15  cases or controls]	NA	NA	NA	Other disorders of purine and pyrimidine metabolism	endocrine/metabolic
277.4	rs4266947_T	NA	NA	NA	NA	NA	logistic	428706	5	428701	0.679563666655314	0.0508705266546304	2508	 [Error: < 15  cases or controls]	NA	NA	NA	Disorders of bilirubin excretion	endocrine/metabolic
277.5	rs4266947_T	NA	0.371468724222697	0.465289161370742	1.44986249981564	0.424661023422795	logistic	428735	34	428701	0.681511059351146	0.0508717506151819	2508		FALSE	FALSE	FALSE	Other disorders of lipoid metabolism	endocrine/metabolic
277.51	rs4266947_T	NA	NA	NA	NA	NA	logistic	428712	11	428701	0.680100416639327	0.0508709809849036	2508	 [Error: < 15  cases or controls]	NA	NA	NA	Lipoprotein disorders	endocrine/metabolic
277.6	rs4266947_T	NA	NA	NA	NA	NA	logistic	428711	10	428701	0.679366800330698	0.0508699333583696	2508	 [Error: < 15  cases or controls]	NA	NA	NA	Other deficiencies of circulating enzymes	endocrine/metabolic
277.7	rs4266947_T	NA	NA	NA	NA	NA	NA	428701	NA	NA	NA	NA	2508	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Dysmetabolic syndrome X	endocrine/metabolic
277.8	rs4266947_T	NA	NA	NA	NA	NA	NA	428701	NA	NA	NA	NA	2508	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Carnitine deficiencies	endocrine/metabolic
278	rs4266947_T	NA	-0.0236677903059858	0.125717272683056	0.976610095213832	0.850671240391415	logistic	428858	671	428187	0.687432534460407	0.0508734825979695	2509		FALSE	FALSE	FALSE	Overweight, obesity and other hyperalimentation	endocrine/metabolic
278.1	rs4266947_T	NA	-0.0249342935407414	0.132833426573971	0.97537399829475	0.851103217395524	logistic	428788	601	428187	0.684812234741255	0.0508736251947349	2509		FALSE	FALSE	FALSE	Obesity	endocrine/metabolic
278.11	rs4266947_T	NA	NA	NA	NA	NA	NA	428187	NA	NA	NA	NA	2503	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Morbid obesity	endocrine/metabolic
278.3	rs4266947_T	NA	0.244011302165078	0.366726376651522	1.27635875602529	0.505809381871639	logistic	428250	63	428187	0.725121213374908	0.0508768242848803	2503		FALSE	FALSE	FALSE	Localized adiposity	endocrine/metabolic
278.4	rs4266947_T	NA	NA	NA	NA	NA	logistic	428202	15	428187	0.72122794791657	0.0508731860196823	2503	 [Error: The model did not converge]	NA	NA	NA	Abnormal weight gain	endocrine/metabolic
279	rs4266947_T	NA	-0.205993441223099	0.264110674757596	0.813838414050007	0.435419592059276	logistic	428713	181	428532	0.681603508916584	0.0508731948879553	2505		FALSE	FALSE	FALSE	Disorders involving the immune mechanism	endocrine/metabolic
279.1	rs4266947_T	NA	-0.159285544958658	0.283882525897331	0.852752824930687	0.574731626104667	logistic	428682	150	428532	0.681278701166278	0.0508745410350796	2505		FALSE	FALSE	FALSE	Immunity deficiency	endocrine/metabolic
